campaign,rep,workers,mode,write_ms,total_ms,verified_bytes
mutex,1,1,concurrent,161.401,650.323,536870912
mutex,1,1,serialized,202.013,705.632,536870912
mutex,2,1,serialized,160.682,659.201,536870912
mutex,2,1,concurrent,184.173,683.740,536870912
mutex,3,1,concurrent,172.959,669.471,536870912
mutex,3,1,serialized,162.144,655.728,536870912
mutex,4,1,serialized,174.117,666.877,536870912
mutex,4,1,concurrent,174.701,681.359,536870912
mutex,5,1,concurrent,162.972,663.310,536870912
mutex,5,1,serialized,153.483,659.204,536870912
mutex,1,4,concurrent,207.636,702.695,536870912
mutex,1,4,serialized,185.651,676.376,536870912
mutex,2,4,serialized,206.570,710.045,536870912
mutex,2,4,concurrent,226.813,722.055,536870912
mutex,3,4,concurrent,232.098,729.204,536870912
mutex,3,4,serialized,203.720,692.116,536870912
mutex,4,4,serialized,173.563,662.322,536870912
mutex,4,4,concurrent,229.833,728.145,536870912
mutex,5,4,concurrent,259.042,751.904,536870912
mutex,5,4,serialized,207.624,699.724,536870912
mutex,1,8,concurrent,219.562,709.825,536870912
mutex,1,8,serialized,167.376,664.263,536870912
mutex,2,8,serialized,229.420,718.815,536870912
mutex,2,8,concurrent,211.739,702.055,536870912
mutex,3,8,concurrent,234.126,723.216,536870912
mutex,3,8,serialized,274.198,761.112,536870912
mutex,4,8,serialized,201.663,688.272,536870912
mutex,4,8,concurrent,247.562,732.490,536870912
mutex,5,8,concurrent,294.969,787.701,536870912
mutex,5,8,serialized,284.556,769.350,536870912
preallocate,1,1,concurrent,132.728,616.843,536870912
preallocate,1,1,preallocated,123.112,604.943,536870912
preallocate,2,1,preallocated,136.233,621.278,536870912
preallocate,2,1,concurrent,144.349,631.612,536870912
preallocate,3,1,concurrent,139.604,624.126,536870912
preallocate,3,1,preallocated,131.465,613.909,536870912
preallocate,4,1,preallocated,129.715,612.434,536870912
preallocate,4,1,concurrent,139.633,623.755,536870912
preallocate,5,1,concurrent,141.941,626.128,536870912
preallocate,5,1,preallocated,130.718,613.065,536870912
preallocate,1,4,concurrent,188.438,673.837,536870912
preallocate,1,4,preallocated,165.028,649.481,536870912
preallocate,2,4,preallocated,158.146,643.927,536870912
preallocate,2,4,concurrent,174.617,657.937,536870912
preallocate,3,4,concurrent,175.815,660.013,536870912
preallocate,3,4,preallocated,153.649,640.941,536870912
preallocate,4,4,preallocated,148.365,640.801,536870912
preallocate,4,4,concurrent,184.205,672.978,536870912
preallocate,5,4,concurrent,175.995,661.410,536870912
preallocate,5,4,preallocated,168.165,652.325,536870912
preallocate,1,8,concurrent,178.392,664.918,536870912
preallocate,1,8,preallocated,158.012,647.559,536870912
preallocate,2,8,preallocated,154.080,639.936,536870912
preallocate,2,8,concurrent,207.302,692.016,536870912
preallocate,3,8,concurrent,189.478,672.821,536870912
preallocate,3,8,preallocated,148.707,636.826,536870912
preallocate,4,8,preallocated,157.341,645.107,536870912
preallocate,4,8,concurrent,179.649,666.191,536870912
preallocate,5,8,concurrent,171.597,654.096,536870912
preallocate,5,8,preallocated,166.977,649.678,536870912
