experiment,ceiling,rep,arm,rails,ms,first_ms,user_s,system_s,bytes
batch,1472,1,before,8,17268,253,15.019997,88.023225,2147483648
batch,1472,1,after,8,17828,186,15.399464,90.037399,2147483648
batch,1472,2,after,8,17360,304,14.274376,87.630391,2147483648
batch,1472,2,before,8,17441,154,15.225951,88.174459,2147483648
batch,1472,3,before,8,17842,325,15.767076,89.743765,2147483648
batch,1472,3,after,8,18101,230,15.670833,90.355681,2147483648
batch,1472,4,after,8,17466,149,14.917508,89.333484,2147483648
batch,1472,4,before,8,17689,170,15.476136,89.276263,2147483648
batch,1472,5,before,8,16961,258,13.594335,86.695035,2147483648
batch,1472,5,after,8,17254,184,14.367365,87.74914,2147483648
batch,65507,1,before,8,7358,452,8.541094,38.832431,2147483648
batch,65507,1,after,8,13783,466,14.042902,70.014353,2147483648
batch,65507,2,after,8,3709,430,5.756793,20.228643,2147483648
batch,65507,2,before,8,14414,459,14.168613,72.606468,2147483648
batch,65507,3,before,8,3849,430,5.923486,21.010203,2147483648
batch,65507,3,after,8,19140,461,17.694272,97.343228,2147483648
batch,65507,4,after,8,9573,419,9.774108,50.086469,2147483648
batch,65507,4,before,8,13898,370,13.660285,71.305382,2147483648
batch,65507,5,before,8,4288,486,6.169764,23.167658,2147483648
batch,65507,5,after,8,14127,456,13.973755,72.200624,2147483648
rails,1472,1,baseline,1,5658,94,5.444465,8.317594,2147483648
rails,1472,1,baseline,8,17930,342,16.212344,90.212674,2147483648
rails,1472,2,baseline,8,17468,181,15.243041,88.219427,2147483648
rails,1472,2,baseline,1,5622,81,5.468995,8.28105,2147483648
rails,1472,3,baseline,1,5682,94,5.524549,8.274212,2147483648
rails,1472,3,baseline,8,17165,182,14.452669,86.337734,2147483648
rails,65507,1,baseline,1,2248,87,3.268096,1.880447,2147483648
rails,65507,1,baseline,8,19219,466,18.369975,96.396461,2147483648
rails,65507,2,baseline,8,4035,412,5.934274,22.085976,2147483648
rails,65507,2,baseline,1,2206,84,3.250858,1.909151,2147483648
rails,65507,3,baseline,1,2262,91,3.265786,1.913146,2147483648
rails,65507,3,baseline,8,6609,459,7.940244,34.310412,2147483648
final,65507,1,before,8,18907,462,18.340445,95.415934,2147483648
final,65507,1,after,1,2204,83,3.26326,1.908796,2147483648
final,65507,2,after,1,2228,84,3.224199,1.890246,2147483648
final,65507,2,before,8,12837,489,12.179289,66.332145,2147483648
final,65507,3,before,8,5461,473,6.869567,29.472067,2147483648
final,65507,3,after,1,2285,91,3.259576,1.916014,2147483648
