cell,rep,arm,verified_bytes,transfer_ms,first_byte_ms,server_cpu_s,client_cpu_s
loop8,1,before,2147483648,2798,115,5.05,10.21
loop8,1,after,2147483648,2437,115,4.5,9.01
loop8,2,after,2147483648,2416,98,4.44,8.9
loop8,2,before,2147483648,2511,100,4.38,9.12
loop8,3,before,2147483648,2709,95,4.72,9.77
loop8,3,after,2147483648,2544,101,4.58,9.06
loop1,1,before,2147483648,2614,81,3.86,8.1
loop1,1,after,2147483648,2591,63,3.83,8.19
loop1,2,after,2147483648,2653,69,4.04,8.19
loop1,2,before,2147483648,2552,72,3.96,8.37
loop1,3,before,2147483648,2514,76,3.8,7.82
loop1,3,after,2147483648,2614,83,3.84,7.97
wan0,1,before,2147483648,10433,909,16.18,17.17
wan0,1,after,2147483648,10287,893,15.85,17.02
wan0,2,after,2147483648,10378,896,15.04,15.81
wan0,2,before,2147483648,10403,889,15.3,16.63
wan0,3,before,2147483648,10515,912,16.11,17.39
wan0,3,after,2147483648,10316,909,15.97,17.32
wan3,1,before,2147483648,11578,1089,16.75,18.07
wan3,1,after,2147483648,10686,979,16.85,18.13
wan3,2,after,2147483648,11809,2138,17.01,18.52
wan3,2,before,2147483648,10594,930,17.31,18.56
wan3,3,before,2147483648,12221,2081,18.17,18.52
wan3,3,after,2147483648,10884,1063,16.52,17.94
loop8,4,after,2147483648,2625,105,4.85,9.77
loop8,4,before,2147483648,2599,109,4.44,9.44
loop8,5,before,2147483648,2590,100,4.49,9.49
loop8,5,after,2147483648,2858,109,4.89,10.0
loop8,6,after,2147483648,2595,117,4.65,9.15
loop8,6,before,2147483648,2557,144,4.5,8.95
loop8,7,before,2147483648,2527,123,4.46,9.23
loop8,7,after,2147483648,2555,133,4.7,9.28
